polygonName,polygonPoints,description,size,JSON
Mostna 51,18.761813;48.738978;397-18.761861;48.739063;397-18.761914;48.739049;397-18.761929;48.739073;397-18.761798;48.739111;397-18.761795;48.739113;397-18.761832;48.739169;397-18.761823;48.739172;397-18.761842;48.7392;397-18.761851;48.739198;397-18.761923;48.739304;397-18.761914;48.739306;397-18.761933;48.739335;397-18.761941;48.739332;397-18.76198;48.73939;397-18.761992;48.739386;397-18.762019;48.739432;397-18.762004;48.73944;397-18.761842;48.739489;397-18.761825;48.73949;397-18.761794;48.739429;397-18.761743;48.739323;397-18.761716;48.739251;397-18.761756;48.739127;397-18.761786;48.739024;397,,541,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.761813,48.738978,397], [18.761861,48.739063,397], [18.761914,48.739049,397], [18.761929,48.739073,397], [18.761798,48.739111,397], [18.761795,48.739113,397], [18.761832,48.739169,397], [18.761823,48.739172,397], [18.761842,48.7392,397], [18.761851,48.739198,397], [18.761923,48.739304,397], [18.761914,48.739306,397], [18.761933,48.739335,397], [18.761941,48.739332,397], [18.76198,48.73939,397], [18.761992,48.739386,397], [18.762019,48.739432,397], [18.762004,48.73944,397], [18.761842,48.739489,397], [18.761825,48.73949,397], [18.761794,48.739429,397], [18.761743,48.739323,397], [18.761716,48.739251,397], [18.761756,48.739127,397], [18.761786,48.739024,397] ]]}"
Mostna 53 - 2,18.762347;48.739397;396-18.762385;48.739397;396-18.762414;48.739398;396-18.762446;48.739427;396-18.76239;48.739446;396-18.762444;48.739508;396-18.762494;48.739498;396-18.762516;48.739517;396-18.762511;48.739547;396-18.762503;48.739561;396-18.762478;48.739595;396-18.762344;48.739735;396-18.762224;48.739842;396-18.761958;48.739761;396-18.761824;48.73949;397-18.761842;48.739489;397-18.761879;48.739545;397-18.761869;48.739548;397-18.761888;48.739576;397-18.761897;48.739573;396-18.761969;48.73968;396-18.761959;48.739682;396-18.76198;48.739712;396-18.761988;48.739709;396-18.762026;48.739765;396-18.762191;48.739716;396-18.762166;48.739679;396-18.762189;48.739673;396-18.762142;48.739605;396-18.762121;48.739612;396-18.762075;48.739545;396-18.762098;48.73954;396-18.762089;48.739527;396-18.762175;48.739504;396-18.762379;48.739437;396-18.762261;48.739517;396-18.762253;48.739514;396-18.762192;48.739574;396-18.762293;48.73962;396-18.762358;48.739562;396-18.762263;48.739518;396-18.762383;48.739436;396-18.762353;48.739416;396,,859,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762347,48.739397,396], [18.762385,48.739397,396], [18.762414,48.739398,396], [18.762446,48.739427,396], [18.76239,48.739446,396], [18.762444,48.739508,396], [18.762494,48.739498,396], [18.762516,48.739517,396], [18.762511,48.739547,396], [18.762503,48.739561,396], [18.762478,48.739595,396], [18.762344,48.739735,396], [18.762224,48.739842,396], [18.761958,48.739761,396], [18.761824,48.73949,397], [18.761842,48.739489,397], [18.761879,48.739545,397], [18.761869,48.739548,397], [18.761888,48.739576,397], [18.761897,48.739573,396], [18.761969,48.73968,396], [18.761959,48.739682,396], [18.76198,48.739712,396], [18.761988,48.739709,396], [18.762026,48.739765,396], [18.762191,48.739716,396], [18.762166,48.739679,396], [18.762189,48.739673,396], [18.762142,48.739605,396], [18.762121,48.739612,396], [18.762075,48.739545,396], [18.762098,48.73954,396], [18.762089,48.739527,396], [18.762175,48.739504,396], [18.762379,48.739437,396], [18.762261,48.739517,396], [18.762253,48.739514,396], [18.762192,48.739574,396], [18.762293,48.73962,396], [18.762358,48.739562,396], [18.762263,48.739518,396], [18.762383,48.739436,396], [18.762353,48.739416,396] ]]}"
Mostna 49,18.762212;48.739318;397-18.762282;48.739299;397-18.762083;48.738994;397-18.761949;48.739044;397-18.761958;48.739063;397-18.761984;48.7391;397-18.762003;48.739094;397-18.762026;48.73911;397-18.762016;48.739115;397-18.762051;48.739162;397-18.762029;48.739169;397-18.762076;48.739234;397-18.762094;48.739226;397-18.762142;48.739298;397-18.76212;48.739303;397-18.762144;48.73934;397-18.762195;48.739326;397-18.762158;48.73927;397-18.762128;48.739278;397-18.76211;48.739247;397-18.762134;48.739239;397-18.762062;48.739133;397-18.762038;48.739139;397-18.762027;48.739125;397-18.762067;48.739113;397-18.762203;48.739305;397,,334,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762212,48.739318,397], [18.762282,48.739299,397], [18.762083,48.738994,397], [18.761949,48.739044,397], [18.761958,48.739063,397], [18.761984,48.7391,397], [18.762003,48.739094,397], [18.762026,48.73911,397], [18.762016,48.739115,397], [18.762051,48.739162,397], [18.762029,48.739169,397], [18.762076,48.739234,397], [18.762094,48.739226,397], [18.762142,48.739298,397], [18.76212,48.739303,397], [18.762144,48.73934,397], [18.762195,48.739326,397], [18.762158,48.73927,397], [18.762128,48.739278,397], [18.76211,48.739247,397], [18.762134,48.739239,397], [18.762062,48.739133,397], [18.762038,48.739139,397], [18.762027,48.739125,397], [18.762067,48.739113,397], [18.762203,48.739305,397] ]]}"
Mostna 27,18.762807;48.740222;395-18.762958;48.740101;395-18.763124;48.740184;395-18.763003;48.740218;395-18.762888;48.740248;395-18.762786;48.740271;395-18.762756;48.740262;395-18.762617;48.740199;395-18.762654;48.74016;395-18.762628;48.740144;395-18.762585;48.74019;395-18.762445;48.740131;395-18.762494;48.740085;396-18.762424;48.740055;396-18.7624;48.740085;396-18.76233;48.740046;395-18.762279;48.740013;396-18.762244;48.739984;396-18.762247;48.739951;396-18.762284;48.73991;396-18.762365;48.739836;396-18.762413;48.739857;396-18.762434;48.739834;396-18.762392;48.739816;396-18.762443;48.739769;396-18.762488;48.739792;396-18.76251;48.73977;396-18.762467;48.739746;396-18.762559;48.739666;396-18.7626;48.739683;396-18.76262;48.739659;396-18.76258;48.73964;396-18.762671;48.739555;396-18.762721;48.739578;396-18.762462;48.739819;396-18.76228;48.739988;396-18.762316;48.739959;396-18.762451;48.740018;396-18.762429;48.740049;396-18.762793;48.740218;395,,671,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762807,48.740222,395], [18.762958,48.740101,395], [18.763124,48.740184,395], [18.763003,48.740218,395], [18.762888,48.740248,395], [18.762786,48.740271,395], [18.762756,48.740262,395], [18.762617,48.740199,395], [18.762654,48.74016,395], [18.762628,48.740144,395], [18.762585,48.74019,395], [18.762445,48.740131,395], [18.762494,48.740085,396], [18.762424,48.740055,396], [18.7624,48.740085,396], [18.76233,48.740046,395], [18.762279,48.740013,396], [18.762244,48.739984,396], [18.762247,48.739951,396], [18.762284,48.73991,396], [18.762365,48.739836,396], [18.762413,48.739857,396], [18.762434,48.739834,396], [18.762392,48.739816,396], [18.762443,48.739769,396], [18.762488,48.739792,396], [18.76251,48.73977,396], [18.762467,48.739746,396], [18.762559,48.739666,396], [18.7626,48.739683,396], [18.76262,48.739659,396], [18.76258,48.73964,396], [18.762671,48.739555,396], [18.762721,48.739578,396], [18.762462,48.739819,396], [18.76228,48.739988,396], [18.762316,48.739959,396], [18.762451,48.740018,396], [18.762429,48.740049,396], [18.762793,48.740218,395] ]]}"
Mostna 57,18.762415;48.73852;398-18.7623;48.73855;398-18.762324;48.738582;398-18.762426;48.738556;398-18.762436;48.73857;398-18.762401;48.738582;398-18.762455;48.738648;399-18.762525;48.738759;399-18.762621;48.738908;398-18.76264;48.738931;398-18.762785;48.739169;398-18.762777;48.739233;398-18.762764;48.73927;398-18.762739;48.739298;397-18.762764;48.73933;397-18.762801;48.7393;398-18.76282;48.73926;398-18.762836;48.739237;398-18.76282;48.739215;398-18.762801;48.739143;398-18.762782;48.73909;399-18.762734;48.73901;398-18.762713;48.738957;398-18.762659;48.738904;399-18.762619;48.738835;399-18.762544;48.738724;399-18.762482;48.738623;399-18.762452;48.738571;398-18.762445;48.738566;398-18.762432;48.73855;398-18.762418;48.738525;398,,307,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762415,48.73852,398], [18.7623,48.73855,398], [18.762324,48.738582,398], [18.762426,48.738556,398], [18.762436,48.73857,398], [18.762401,48.738582,398], [18.762455,48.738648,399], [18.762525,48.738759,399], [18.762621,48.738908,398], [18.76264,48.738931,398], [18.762785,48.739169,398], [18.762777,48.739233,398], [18.762764,48.73927,398], [18.762739,48.739298,397], [18.762764,48.73933,397], [18.762801,48.7393,398], [18.76282,48.73926,398], [18.762836,48.739237,398], [18.76282,48.739215,398], [18.762801,48.739143,398], [18.762782,48.73909,399], [18.762734,48.73901,398], [18.762713,48.738957,398], [18.762659,48.738904,399], [18.762619,48.738835,399], [18.762544,48.738724,399], [18.762482,48.738623,399], [18.762452,48.738571,398], [18.762445,48.738566,398], [18.762432,48.73855,398], [18.762418,48.738525,398] ]]}"
Mostna 33,18.763033;48.740233;395-18.763202;48.740232;395-18.763207;48.740226;395-18.763226;48.740214;395-18.763285;48.740212;395-18.763352;48.740212;396-18.763338;48.73972;395-18.763304;48.739719;395-18.763282;48.739699;395-18.763279;48.739537;396-18.763097;48.739453;398-18.763092;48.739496;398-18.763038;48.739554;397-18.76299;48.739602;397-18.763255;48.739697;395-18.763279;48.739702;395-18.763303;48.739723;395-18.763306;48.739838;396-18.763339;48.739837;396-18.763339;48.739853;396-18.763305;48.739853;396-18.76331;48.740079;396-18.763345;48.740079;397-18.763346;48.740095;397-18.763311;48.740095;396-18.763312;48.74021;395-18.763288;48.740208;395-18.76328;48.739732;395-18.763255;48.739713;395-18.763147;48.739674;395-18.762978;48.739621;396-18.762774;48.73981;396-18.762785;48.739817;396-18.762917;48.739704;396-18.763035;48.73976;395-18.763067;48.73979;395-18.763263;48.739789;395-18.763263;48.739997;396-18.763072;48.739999;395-18.763069;48.739794;395-18.763034;48.739762;395-18.762927;48.739877;395-18.763004;48.739923;395-18.762876;48.740047;395-18.763216;48.74021;395-18.7632;48.740221;395-18.763155;48.740198;395-18.763055;48.740221;395,,1531,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.763033,48.740233,395], [18.763202,48.740232,395], [18.763207,48.740226,395], [18.763226,48.740214,395], [18.763285,48.740212,395], [18.763352,48.740212,396], [18.763338,48.73972,395], [18.763304,48.739719,395], [18.763282,48.739699,395], [18.763279,48.739537,396], [18.763097,48.739453,398], [18.763092,48.739496,398], [18.763038,48.739554,397], [18.76299,48.739602,397], [18.763255,48.739697,395], [18.763279,48.739702,395], [18.763303,48.739723,395], [18.763306,48.739838,396], [18.763339,48.739837,396], [18.763339,48.739853,396], [18.763305,48.739853,396], [18.76331,48.740079,396], [18.763345,48.740079,397], [18.763346,48.740095,397], [18.763311,48.740095,396], [18.763312,48.74021,395], [18.763288,48.740208,395], [18.76328,48.739732,395], [18.763255,48.739713,395], [18.763147,48.739674,395], [18.762978,48.739621,396], [18.762774,48.73981,396], [18.762785,48.739817,396], [18.762917,48.739704,396], [18.763035,48.73976,395], [18.763067,48.73979,395], [18.763263,48.739789,395], [18.763263,48.739997,396], [18.763072,48.739999,395], [18.763069,48.739794,395], [18.763034,48.739762,395], [18.762927,48.739877,395], [18.763004,48.739923,395], [18.762876,48.740047,395], [18.763216,48.74021,395], [18.7632,48.740221,395], [18.763155,48.740198,395], [18.763055,48.740221,395] ]]}"
Mostna 17,18.762739;48.73956;396-18.762685;48.739539;396-18.762734;48.73949;397-18.762801;48.73943;397-18.762838;48.739407;397-18.762916;48.739384;398-18.762978;48.739384;398-18.763088;48.739444;398-18.763069;48.739484;398-18.763018;48.739553;397-18.762894;48.73967;396-18.762867;48.739657;396-18.762853;48.739671;396-18.76288;48.739683;396-18.76266;48.739879;396-18.762648;48.739874;396-18.762603;48.739919;396-18.762626;48.739928;396-18.762616;48.739941;396-18.762675;48.739965;395-18.762658;48.739978;396-18.762693;48.739985;395-18.762702;48.739977;395-18.762827;48.740037;395-18.762813;48.740051;395-18.762846;48.740065;395-18.762855;48.740053;395-18.762937;48.740085;395-18.762918;48.740108;395-18.762575;48.73995;396-18.762599;48.739923;396-18.762648;48.739869;396-18.762655;48.73987;396-18.762669;48.739853;396-18.762894;48.739628;396-18.762933;48.739587;397-18.76297;48.73955;397-18.762828;48.73949;397-18.762761;48.739547;396,,504,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762739,48.73956,396], [18.762685,48.739539,396], [18.762734,48.73949,397], [18.762801,48.73943,397], [18.762838,48.739407,397], [18.762916,48.739384,398], [18.762978,48.739384,398], [18.763088,48.739444,398], [18.763069,48.739484,398], [18.763018,48.739553,397], [18.762894,48.73967,396], [18.762867,48.739657,396], [18.762853,48.739671,396], [18.76288,48.739683,396], [18.76266,48.739879,396], [18.762648,48.739874,396], [18.762603,48.739919,396], [18.762626,48.739928,396], [18.762616,48.739941,396], [18.762675,48.739965,395], [18.762658,48.739978,396], [18.762693,48.739985,395], [18.762702,48.739977,395], [18.762827,48.740037,395], [18.762813,48.740051,395], [18.762846,48.740065,395], [18.762855,48.740053,395], [18.762937,48.740085,395], [18.762918,48.740108,395], [18.762575,48.73995,396], [18.762599,48.739923,396], [18.762648,48.739869,396], [18.762655,48.73987,396], [18.762669,48.739853,396], [18.762894,48.739628,396], [18.762933,48.739587,397], [18.76297,48.73955,397], [18.762828,48.73949,397], [18.762761,48.739547,396] ]]}"
Mostna 61,18.762512;48.739407;396-18.762533;48.73943;396-18.762552;48.739449;396-18.762595;48.73946;396-18.762614;48.739464;396-18.762651;48.739449;396-18.762699;48.739412;396-18.762715;48.739375;397-18.762742;48.739354;397-18.762707;48.739333;397-18.762686;48.739324;397-18.762673;48.73932;397-18.762724;48.739274;397-18.762759;48.739181;398-18.762716;48.739096;398-18.762579;48.738889;398-18.762308;48.738972;397-18.762354;48.739039;397-18.76237;48.739033;397-18.762359;48.739017;397-18.762382;48.73901;398-18.762357;48.738975;397-18.76252;48.738925;398-18.762558;48.738982;398-18.762566;48.738978;398-18.762586;48.739007;398-18.762578;48.739008;398-18.762649;48.739116;398-18.762658;48.739112;398-18.76268;48.739142;397-18.762668;48.739144;397-18.762704;48.7392;397-18.762543;48.739246;397-18.762517;48.739212;397-18.762496;48.739219;397-18.762451;48.739151;397-18.762471;48.739145;397-18.762426;48.739078;397-18.762406;48.739084;397-18.762381;48.739047;397-18.762364;48.739052;397-18.762449;48.739182;397-18.762465;48.739177;397-18.762475;48.73919;397-18.762456;48.739196;397-18.762582;48.739384;397-18.762544;48.739395;397,,619,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762512,48.739407,396], [18.762533,48.73943,396], [18.762552,48.739449,396], [18.762595,48.73946,396], [18.762614,48.739464,396], [18.762651,48.739449,396], [18.762699,48.739412,396], [18.762715,48.739375,397], [18.762742,48.739354,397], [18.762707,48.739333,397], [18.762686,48.739324,397], [18.762673,48.73932,397], [18.762724,48.739274,397], [18.762759,48.739181,398], [18.762716,48.739096,398], [18.762579,48.738889,398], [18.762308,48.738972,397], [18.762354,48.739039,397], [18.76237,48.739033,397], [18.762359,48.739017,397], [18.762382,48.73901,398], [18.762357,48.738975,397], [18.76252,48.738925,398], [18.762558,48.738982,398], [18.762566,48.738978,398], [18.762586,48.739007,398], [18.762578,48.739008,398], [18.762649,48.739116,398], [18.762658,48.739112,398], [18.76268,48.739142,397], [18.762668,48.739144,397], [18.762704,48.7392,397], [18.762543,48.739246,397], [18.762517,48.739212,397], [18.762496,48.739219,397], [18.762451,48.739151,397], [18.762471,48.739145,397], [18.762426,48.739078,397], [18.762406,48.739084,397], [18.762381,48.739047,397], [18.762364,48.739052,397], [18.762449,48.739182,397], [18.762465,48.739177,397], [18.762475,48.73919,397], [18.762456,48.739196,397], [18.762582,48.739384,397], [18.762544,48.739395,397] ]]}"
Mostna 55,18.762102;48.738604;397-18.762067;48.738632;397-18.762043;48.738662;397-18.762032;48.738703;397-18.762032;48.738721;397-18.762097;48.738705;397-18.762115;48.738701;397-18.762134;48.738721;398-18.762236;48.738864;397-18.7623;48.738951;397-18.762563;48.738876;398-18.762477;48.738738;399-18.762378;48.738588;398-18.762307;48.73861;398-18.762346;48.738667;399-18.762354;48.738664;398-18.762373;48.738692;399-18.762365;48.738695;399-18.762438;48.738801;398-18.762446;48.738798;398-18.762465;48.738826;398-18.762456;48.738829;398-18.762494;48.738885;398-18.762328;48.738935;398-18.762304;48.738898;398-18.762283;48.738904;398-18.762237;48.738836;398-18.762257;48.73883;398-18.762212;48.738762;398-18.762191;48.73877;398-18.762146;48.738701;398-18.762165;48.738695;398-18.762141;48.738654;398-18.762131;48.738661;397-18.762125;48.738691;397-18.762125;48.738697;397-18.762094;48.738703;397-18.762096;48.738676;397-18.762106;48.738655;397-18.762128;48.738644;397,,319,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.762102,48.738604,397], [18.762067,48.738632,397], [18.762043,48.738662,397], [18.762032,48.738703,397], [18.762032,48.738721,397], [18.762097,48.738705,397], [18.762115,48.738701,397], [18.762134,48.738721,398], [18.762236,48.738864,397], [18.7623,48.738951,397], [18.762563,48.738876,398], [18.762477,48.738738,399], [18.762378,48.738588,398], [18.762307,48.73861,398], [18.762346,48.738667,399], [18.762354,48.738664,398], [18.762373,48.738692,399], [18.762365,48.738695,399], [18.762438,48.738801,398], [18.762446,48.738798,398], [18.762465,48.738826,398], [18.762456,48.738829,398], [18.762494,48.738885,398], [18.762328,48.738935,398], [18.762304,48.738898,398], [18.762283,48.738904,398], [18.762237,48.738836,398], [18.762257,48.73883,398], [18.762212,48.738762,398], [18.762191,48.73877,398], [18.762146,48.738701,398], [18.762165,48.738695,398], [18.762141,48.738654,398], [18.762131,48.738661,397], [18.762125,48.738691,397], [18.762125,48.738697,397], [18.762094,48.738703,397], [18.762096,48.738676,397], [18.762106,48.738655,397], [18.762128,48.738644,397] ]]}"
Okruzna 7,18.755145;48.737002;417-18.755199;48.73704;416-18.755274;48.737098;416-18.755295;48.737126;415-18.755335;48.737174;415-18.755354;48.737224;414-18.755368;48.737287;414-18.755392;48.737347;413-18.755421;48.737386;413-18.755483;48.737446;411-18.755539;48.73748;411-18.75542;48.737521;412-18.755376;48.737535;412-18.755213;48.73759;412-18.755138;48.737559;415-18.755077;48.737521;415-18.755038;48.737474;416-18.755018;48.737379;416-18.755065;48.737375;415-18.755087;48.737492;415-18.75536;48.737472;413-18.755319;48.737248;415-18.755048;48.73727;416-18.755061;48.73735;415-18.755013;48.737354;415-18.754979;48.737176;417-18.755001;48.737139;417-18.755097;48.73705;417,,986,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.755145,48.737002,417], [18.755199,48.73704,416], [18.755274,48.737098,416], [18.755295,48.737126,415], [18.755335,48.737174,415], [18.755354,48.737224,414], [18.755368,48.737287,414], [18.755392,48.737347,413], [18.755421,48.737386,413], [18.755483,48.737446,411], [18.755539,48.73748,411], [18.75542,48.737521,412], [18.755376,48.737535,412], [18.755213,48.73759,412], [18.755138,48.737559,415], [18.755077,48.737521,415], [18.755038,48.737474,416], [18.755018,48.737379,416], [18.755065,48.737375,415], [18.755087,48.737492,415], [18.75536,48.737472,413], [18.755319,48.737248,415], [18.755048,48.73727,416], [18.755061,48.73735,415], [18.755013,48.737354,415], [18.754979,48.737176,417], [18.755001,48.737139,417], [18.755097,48.73705,417] ]]}"
Morovnianska 64,18.75205;48.737146;430-18.752182;48.737247;428-18.75253;48.737369;427-18.75253;48.737341;427-18.752532;48.737334;428-18.752309;48.737077;431-18.752278;48.737041;432-18.752422;48.736987;431-18.752475;48.737045;431-18.752483;48.737043;431-18.752493;48.737056;431-18.752512;48.737049;431-18.752528;48.737069;430-18.752503;48.737078;431-18.752596;48.737185;429-18.752602;48.737183;429-18.752612;48.737192;429-18.752629;48.737187;429-18.752649;48.73721;429-18.752627;48.737219;429-18.75268;48.737282;428-18.752671;48.737233;429-18.752482;48.737009;431-18.752427;48.736947;431-18.752355;48.73686;432-18.752162;48.736929;432-18.752122;48.736952;432-18.752095;48.736993;432-18.752071;48.737067;431-18.752063;48.737094;431,,1018,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.75205,48.737146,430], [18.752182,48.737247,428], [18.75253,48.737369,427], [18.75253,48.737341,427], [18.752532,48.737334,428], [18.752309,48.737077,431], [18.752278,48.737041,432], [18.752422,48.736987,431], [18.752475,48.737045,431], [18.752483,48.737043,431], [18.752493,48.737056,431], [18.752512,48.737049,431], [18.752528,48.737069,430], [18.752503,48.737078,431], [18.752596,48.737185,429], [18.752602,48.737183,429], [18.752612,48.737192,429], [18.752629,48.737187,429], [18.752649,48.73721,429], [18.752627,48.737219,429], [18.75268,48.737282,428], [18.752671,48.737233,429], [18.752482,48.737009,431], [18.752427,48.736947,431], [18.752355,48.73686,432], [18.752162,48.736929,432], [18.752122,48.736952,432], [18.752095,48.736993,432], [18.752071,48.737067,431], [18.752063,48.737094,431] ]]}"
Morovnianska 50,18.752681;48.737283;428-18.752671;48.737233;429-18.752824;48.737175;429-18.752627;48.736949;431-18.75261;48.736949;431-18.752586;48.736935;431-18.752524;48.736959;431-18.752455;48.73688;432-18.753015;48.736717;429-18.753093;48.736795;429-18.75309;48.7368;429-18.75311;48.736881;429-18.753083;48.736884;429-18.753088;48.736906;429-18.753113;48.736904;429-18.753143;48.737041;430-18.753114;48.737044;430-18.753112;48.737028;430-18.753102;48.73703;430-18.753076;48.736906;429-18.753084;48.736906;429-18.753077;48.73687;429-18.753067;48.73687;430-18.753054;48.736804;430-18.752887;48.73682;430-18.752959;48.737157;429-18.752724;48.737263;428,,1108,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.752681,48.737283,428], [18.752671,48.737233,429], [18.752824,48.737175,429], [18.752627,48.736949,431], [18.75261,48.736949,431], [18.752586,48.736935,431], [18.752524,48.736959,431], [18.752455,48.73688,432], [18.753015,48.736717,429], [18.753093,48.736795,429], [18.75309,48.7368,429], [18.75311,48.736881,429], [18.753083,48.736884,429], [18.753088,48.736906,429], [18.753113,48.736904,429], [18.753143,48.737041,430], [18.753114,48.737044,430], [18.753112,48.737028,430], [18.753102,48.73703,430], [18.753076,48.736906,429], [18.753084,48.736906,429], [18.753077,48.73687,429], [18.753067,48.73687,430], [18.753054,48.736804,430], [18.752887,48.73682,430], [18.752959,48.737157,429], [18.752724,48.737263,428] ]]}"
Morovnianska 34,18.753152;48.73709;430-18.753148;48.737065;430-18.753112;48.737069;430-18.753126;48.737141;429-18.753651;48.737092;426-18.753753;48.737093;425-18.753753;48.737078;425-18.753798;48.737079;425-18.753798;48.737095;425-18.7539;48.737095;425-18.753834;48.736955;426-18.753823;48.736888;426-18.753792;48.73689;426-18.753807;48.736962;426-18.753642;48.736976;426-18.753571;48.736639;427-18.753737;48.736624;427-18.753751;48.73669;427-18.75376;48.73669;427-18.753764;48.736706;427-18.75378;48.736704;426-18.753784;48.736729;426-18.753767;48.736728;427-18.753759;48.736729;427-18.753786;48.736855;426-18.753794;48.736853;426-18.753798;48.736864;426-18.753818;48.736864;426-18.753774;48.736674;427-18.75376;48.736613;427-18.753757;48.736596;427-18.753433;48.736633;427-18.753167;48.736665;428-18.753082;48.736694;429-18.753126;48.736737;428-18.753157;48.736782;429-18.753254;48.736781;428-18.753267;48.736815;428-18.753321;48.737065;429-18.753226;48.737074;429-18.75323;48.737085;429-18.753167;48.737087;430,,1844,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753152,48.73709,430], [18.753148,48.737065,430], [18.753112,48.737069,430], [18.753126,48.737141,429], [18.753651,48.737092,426], [18.753753,48.737093,425], [18.753753,48.737078,425], [18.753798,48.737079,425], [18.753798,48.737095,425], [18.7539,48.737095,425], [18.753834,48.736955,426], [18.753823,48.736888,426], [18.753792,48.73689,426], [18.753807,48.736962,426], [18.753642,48.736976,426], [18.753571,48.736639,427], [18.753737,48.736624,427], [18.753751,48.73669,427], [18.75376,48.73669,427], [18.753764,48.736706,427], [18.75378,48.736704,426], [18.753784,48.736729,426], [18.753767,48.736728,427], [18.753759,48.736729,427], [18.753786,48.736855,426], [18.753794,48.736853,426], [18.753798,48.736864,426], [18.753818,48.736864,426], [18.753774,48.736674,427], [18.75376,48.736613,427], [18.753757,48.736596,427], [18.753433,48.736633,427], [18.753167,48.736665,428], [18.753082,48.736694,429], [18.753126,48.736737,428], [18.753157,48.736782,429], [18.753254,48.736781,428], [18.753267,48.736815,428], [18.753321,48.737065,429], [18.753226,48.737074,429], [18.75323,48.737085,429], [18.753167,48.737087,430] ]]}"
Morovnianska 20,18.753832;48.736593;426-18.753835;48.736603;426-18.753905;48.736603;426-18.753913;48.736637;426-18.753948;48.736635;425-18.754;48.736883;426-18.754375;48.736869;423-18.754339;48.736697;422-18.75452;48.73668;422-18.754563;48.736675;422-18.75454;48.736575;422-18.754309;48.736597;423-18.754169;48.736597;424-18.753981;48.73659;425-18.753868;48.73659;426,,1080,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.753832,48.736593,426], [18.753835,48.736603,426], [18.753905,48.736603,426], [18.753913,48.736637,426], [18.753948,48.736635,425], [18.754,48.736883,426], [18.754375,48.736869,423], [18.754339,48.736697,422], [18.75452,48.73668,422], [18.754563,48.736675,422], [18.75454,48.736575,422], [18.754309,48.736597,423], [18.754169,48.736597,424], [18.753981,48.73659,425], [18.753868,48.73659,426] ]]}"
Morovnianska 33,18.757544;48.735108;434-18.757627;48.735127;434-18.757627;48.735154;434-18.758379;48.735161;427-18.758376;48.735284;427-18.758421;48.735278;427-18.758432;48.735268;427-18.75844;48.735261;427-18.758456;48.735231;427-18.758456;48.735197;427-18.758443;48.735162;427-18.758408;48.735121;426-18.75836;48.735071;426-18.758306;48.735029;428-18.758271;48.735006;427-18.758242;48.734999;427-18.758134;48.735002;429-18.758048;48.735004;431-18.758003;48.735004;431-18.757936;48.735008;433-18.757888;48.735009;433-18.757869;48.735018;433-18.757826;48.735025;433-18.757748;48.735027;434-18.757668;48.735032;434-18.757558;48.735038;435-18.75755;48.735077;434,,999,"{ ""type"": ""Polygon"", ""coordinates"": [[ [18.757544,48.735108,434], [18.757627,48.735127,434], [18.757627,48.735154,434], [18.758379,48.735161,427], [18.758376,48.735284,427], [18.758421,48.735278,427], [18.758432,48.735268,427], [18.75844,48.735261,427], [18.758456,48.735231,427], [18.758456,48.735197,427], [18.758443,48.735162,427], [18.758408,48.735121,426], [18.75836,48.735071,426], [18.758306,48.735029,428], [18.758271,48.735006,427], [18.758242,48.734999,427], [18.758134,48.735002,429], [18.758048,48.735004,431], [18.758003,48.735004,431], [18.757936,48.735008,433], [18.757888,48.735009,433], [18.757869,48.735018,433], [18.757826,48.735025,433], [18.757748,48.735027,434], [18.757668,48.735032,434], [18.757558,48.735038,435], [18.75755,48.735077,434] ]]}"
